Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,37,48,48,69,98,92,103,119,106,99,114,106,127
Expenses+,54,69,69,65,84,78,81,99,78,132,94,74,81
Operating Profit,-17,-21,-21,4,15,14,21,20,28,-33,20,32,46
OPM %,-45%,-44%,-43%,6%,15%,15%,21%,17%,26%,-33%,17%,30%,36%
Other Income+,2,36,0,2,2,4,1,7,-3,-1,39,20,90
Interest,1,2,5,8,10,20,40,30,33,33,36,31,19
Depreciation,6,15,18,19,6,18,23,22,20,140,18,14,14
Profit before tax,-23,-3,-43,-22,0,-20,-39,-25,-28,-206,5,8,103
Tax %,-6%,-125%,-10%,-11%,667%,-18%,-2%,2%,13%,-2%,-57%,21%,7%
Net Profit+,-21,1,-39,-19,-2,-17,-39,-25,-32,-203,8,6,96
EPS in Rs,-3.79,0.19,-6.28,-3.14,-0.31,-2.49,-5.93,-3.75,-4.46,-27.15,0.65,-0.09,10.01
Raw PDF,,,,,,,,,,,,,
