Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,271,207,177,251,235,304,229,217,278,338,270,233,340
Expenses+,233,198,165,224,198,246,210,188,233,284,233,195,292
Operating Profit,38,9,11,26,37,58,19,29,45,54,37,37,48
OPM %,14%,4%,6%,10%,16%,19%,8%,13%,16%,16%,14%,16%,14%
Other Income+,4,17,5,2,2,6,7,8,5,16,2,10,6
Interest,0,0,2,2,2,2,3,4,4,2,2,2,1
Depreciation,8,5,12,16,12,13,16,19,20,21,20,22,22
Profit before tax,34,21,2,10,25,49,7,13,26,48,17,23,30
Tax %,25%,23%,-41%,37%,25%,24%,24%,28%,29%,25%,34%,26%,25%
Net Profit+,25,16,3,6,19,37,5,9,18,35,11,17,23
EPS in Rs,2.20,1.39,0.28,0.63,1.62,3.25,0.44,0.78,1.53,2.97,0.93,1.46,1.90
Raw PDF,,,,,,,,,,,,,
