Metric,Mar 2024,Mar 2025
Sales+,"1,169","2,598"
Expenses+,"1,159","2,532"
Operating Profit,10,66
OPM %,1%,3%
Other Income+,18,31
Interest,19,60
Depreciation,6,13
Profit before tax,4,24
Tax %,-17%,35%
Net Profit+,4,15
EPS in Rs,0.37,1.34
Dividend Payout %,0%,0%
