Metric,Mar 2017,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,553,411,335,323,348
Expenses+,483,403,326,288,309
Operating Profit,69,8,9,35,39
OPM %,12%,2%,3%,11%,11%
Other Income+,2,16,3,1,2
Interest,27,13,11,12,13
Depreciation,18,14,15,14,14
Profit before tax,27,-3,-14,10,14
Tax %,44%,90%,-22%,-24%,
Net Profit+,15,-7,-11,12,16
EPS in Rs,6.97,-5.04,-8.31,9.30,12.52
Dividend Payout %,0%,0%,0%,6%,
