Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,304,267,270,376,396,460,513,723,769,998,"1,058","1,131","1,484"
Expenses+,299,255,258,357,381,442,488,686,730,941,995,"1,060","1,385"
Operating Profit,4,12,12,19,15,18,25,37,39,57,63,71,100
OPM %,1%,5%,4%,5%,4%,4%,5%,5%,5%,6%,6%,6%,7%
Other Income+,0,0,0,1,1,0,2,1,20,7,5,4,8
Interest,2,3,4,4,5,5,7,8,10,12,14,13,18
Depreciation,0,0,0,1,1,2,2,2,2,3,4,4,2
Profit before tax,2,9,8,14,10,12,18,28,46,49,50,59,88
Tax %,54%,28%,23%,25%,25%,25%,25%,25%,20%,26%,24%,26%,24%
Net Profit+,1,6,6,11,7,9,14,21,37,37,38,44,67
EPS in Rs,0.08,0.59,0.57,0.99,0.68,0.68,1.03,1.60,2.69,2.49,2.60,2.93,4.33
Raw PDF,,,,,,,,,,,,,
