Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,553,591,634,575,607,604,640,557,513,562,638,573,531
Expenses+,497,525,554,502,528,518,551,482,447,485,554,497,462
Operating Profit,56,66,79,73,79,86,89,75,66,77,84,76,69
OPM %,10%,11%,13%,13%,13%,14%,14%,13%,13%,14%,13%,13%,13%
Other Income+,7,1,2,1,1,1,1,2,1,1,2,2,3
Interest,1,1,1,0,1,1,1,1,1,1,2,1,3
Depreciation,10,10,11,11,11,12,10,11,11,14,11,13,13
Profit before tax,52,56,71,63,69,74,78,65,56,63,72,64,56
Tax %,28%,27%,26%,27%,27%,26%,30%,28%,29%,31%,30%,29%,29%
Net Profit+,37,41,52,46,50,55,55,46,40,44,50,46,40
EPS in Rs,0.94,1.03,1.32,1.14,1.26,1.38,1.37,1.16,1.00,1.10,1.26,1.15,1.00
Raw PDF,,,,,,,,,,,,,
