Metric,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024
Sales+,200,385,296,325,247,441,342,312,218,474,363,240,268
Expenses+,109,193,152,162,131,217,174,163,125,232,188,127,146
Operating Profit,91,191,144,163,115,224,168,148,93,242,175,113,122
OPM %,46%,50%,49%,50%,47%,51%,49%,48%,43%,51%,48%,47%,46%
Other Income+,9,11,11,7,10,10,13,15,15,15,24,21,19
Interest,7,8,9,8,8,7,8,9,11,11,13,14,14
Depreciation,22,24,27,26,25,25,27,30,32,34,38,37,37
Profit before tax,71,171,120,136,93,202,145,124,65,212,148,83,90
Tax %,25%,25%,26%,26%,25%,26%,25%,26%,25%,26%,22%,25%,26%
Net Profit+,53,128,89,101,69,150,109,92,49,158,116,62,67
EPS in Rs,2.20,5.27,3.65,4.16,2.84,6.19,4.48,3.79,2.01,6.49,4.77,2.57,2.75
Raw PDF,,,,,,,,,,,,,
