Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,503,629,727,792,725,760
Expenses+,397,512,626,646,668,690
Operating Profit,106,117,101,146,57,71
OPM %,21%,19%,14%,18%,8%,9%
Other Income+,6,4,7,9,10,9
Interest,2,1,1,2,3,3
Depreciation,27,31,35,35,30,27
Profit before tax,83,88,71,118,35,51
Tax %,35%,37%,19%,26%,27%,
Net Profit+,54,55,58,88,25,38
EPS in Rs,3.79,3.84,4.00,5.95,1.70,2.53
Dividend Payout %,66%,91%,100%,50%,88%,
