Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,306,478,379,395,325,618,507,442,416,661,505,464,492
Expenses+,262,391,319,313,267,513,432,373,352,536,424,387,420
Operating Profit,45,87,60,82,58,105,75,69,64,125,81,77,73
OPM %,15%,18%,16%,21%,18%,17%,15%,16%,15%,19%,16%,17%,15%
Other Income+,3,1,1,1,2,4,5,2,3,9,14,9,10
Interest,4,5,5,6,9,10,10,10,12,13,16,16,19
Depreciation,10,10,13,12,15,16,15,19,21,22,21,21,22
Profit before tax,33,73,42,64,36,82,54,42,35,99,58,49,42
Tax %,22%,27%,17%,27%,23%,26%,25%,26%,28%,26%,28%,21%,34%
Net Profit+,26,53,35,47,28,61,41,31,25,73,41,39,28
EPS in Rs,,,0.62,0.85,0.50,1.10,0.74,0.55,0.45,1.32,0.75,0.70,0.50
Raw PDF,,,,,,,,,,,,,
