Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,349,440,283,292
Expenses+,332,406,241,250
Operating Profit,17,35,42,42
OPM %,5%,8%,15%,14%
Other Income+,9,5,4,6
Interest,1,1,1,1
Depreciation,4,5,3,5
Profit before tax,21,34,42,42
Tax %,32%,26%,29%,27%
Net Profit+,14,25,30,31
EPS in Rs,,,,
Dividend Payout %,48%,16%,-0%,11%
