Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3,75,161,362,471,446
Expenses+,10,114,233,307,434,381
Operating Profit,-8,-39,-72,55,37,65
OPM %,-300%,-52%,-44%,15%,8%,15%
Other Income+,0,1,38,8,47,149
Interest,0,9,11,79,133,119
Depreciation,1,14,45,67,206,185
Profit before tax,-8,-61,-89,-83,-255,-91
Tax %,-0%,-4%,-11%,-7%,-1%,
Net Profit+,-8,-58,-79,-77,-252,-93
EPS in Rs,-11.83,-14.20,-12.86,-11.66,-33.24,-16.58
Dividend Payout %,0%,0%,0%,0%,0%,
