Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,129,102,91,-27,18
Expenses+,94,73,94,27,58
Operating Profit,35,29,-3,-53,-40
OPM %,27%,28%,-4%,-259%,-220%
Other Income+,8,10,12,28,5
Interest,15,14,13,11,4
Depreciation,0,0,0,0,0
Profit before tax,28,24,-4,-37,-38
Tax %,27%,28%,1%,0%,0%
Net Profit+,20,17,-4,-37,-38
EPS in Rs,0.16,0.14,-0.03,-0.17,-0.07
Dividend Payout %,3%,0%,0%,0%,0%
