Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"208,757","205,715","203,872","198,551","179,246","199,906","198,650","193,845","174,976","194,014","195,270","192,341","178,628"
Expenses+,"205,477","201,411","186,236","174,851","156,075","183,172","186,675","183,923","171,509","186,442","180,241","179,073","162,383"
Operating Profit,"3,280","4,304","17,637","23,700","23,171","16,733","11,975","9,921","3,467","7,573","15,029","13,267","16,245"
OPM %,2%,2%,9%,12%,13%,8%,6%,5%,2%,4%,8%,7%,9%
Other Income+,"1,031","1,731","1,368",970,829,"1,916","1,686","1,102","2,556","1,936","1,519","1,732","1,356"
Interest,"1,554","2,122","1,957","1,743","1,977","1,958","2,147","2,080","2,546","2,458","2,178","2,070","2,270"
Depreciation,"3,283","3,451","3,288","3,476","3,610","4,686","4,094","4,103","4,065","4,284","4,325","4,179","4,227"
Profit before tax,-527,462,"13,759","19,450","18,413","12,005","7,420","4,841",-589,"2,766","10,045","8,750","11,104"
Tax %,73%,-93%,21%,24%,26%,23%,26%,23%,-24%,22%,17%,22%,26%
Net Profit+,-910,890,"10,841","14,735","13,713","9,225","5,488","3,723",-449,"2,147","8,368","6,808","8,191"
EPS in Rs,-0.70,0.55,7.29,10.22,9.29,6.39,3.65,2.50,-0.12,1.50,5.75,4.83,5.54
Raw PDF,,,,,,,,,,,,,
