Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,846,986,"1,009",967,"1,015","1,024","1,017","1,103","1,113","1,184","1,175","1,051","1,119"
Expenses+,743,861,877,840,886,899,892,980,978,"1,054","1,053",957,983
Operating Profit,103,125,132,127,128,125,125,124,135,130,122,94,136
OPM %,12%,13%,13%,13%,13%,12%,12%,11%,12%,11%,10%,9%,12%
Other Income+,2,8,15,11,4,35,13,11,39,9,-13,11,-109
Interest,4,7,5,7,7,6,8,9,14,9,8,6,2
Depreciation,19,22,21,21,21,22,22,22,22,22,22,22,23
Profit before tax,82,103,120,110,104,132,109,103,137,107,79,77,2
Tax %,12%,17%,14%,17%,15%,14%,13%,21%,22%,20%,24%,23%,"1,042%"
Net Profit+,73,85,104,92,88,114,95,81,107,85,60,59,-19
EPS in Rs,11.84,13.23,16.27,14.80,14.18,16.89,14.03,12.51,16.08,13.09,8.98,8.45,-3.37
Raw PDF,,,,,,,,,,,,,
