Metric,Mar 2025,TTM
Sales+,846,"1,032"
Expenses+,711,879
Operating Profit,135,153
OPM %,16%,15%
Other Income+,24,34
Interest,9,12
Depreciation,10,14
Profit before tax,141,161
Tax %,23%,
Net Profit+,105,140
EPS in Rs,0.70,1.00
Dividend Payout %,28%,
