Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,635,823,766,"1,019",814,821
Expenses+,615,799,744,975,761,762
Operating Profit,20,25,22,43,54,58
OPM %,3%,3%,3%,4%,7%,7%
Other Income+,4,4,6,1,4,5
Interest,11,9,8,12,16,18
Depreciation,4,5,5,10,10,12
Profit before tax,10,16,15,22,31,34
Tax %,26%,26%,26%,26%,26%,26%
Net Profit+,7,12,11,16,23,25
EPS in Rs,25.59,30.19,29.84,42.99,9.24,10.16
Dividend Payout %,0%,0%,0%,0%,0%,0%
