Metric,Mar 2024,Mar 2025
Sales+,"1,360","1,604"
Expenses+,"1,221","1,429"
Operating Profit,139,175
OPM %,10%,11%
Other Income+,5,3
Interest,33,45
Depreciation,34,50
Profit before tax,77,83
Tax %,27%,26%
Net Profit+,57,62
EPS in Rs,19.68,19.93
Dividend Payout %,3%,3%
