Metric,Mar 2020,Mar 2021,Mar 2022
Sales+,39.76,39.39,49.39
Expenses+,35.78,34.04,42.60
Operating Profit,3.98,5.35,6.79
OPM %,10.01%,13.58%,13.75%
Other Income+,-0.01,0.03,0.18
Interest,0.88,1.18,1.20
Depreciation,0.23,0.27,0.46
Profit before tax,2.86,3.93,5.31
Tax %,11.54%,-24.68%,4.71%
Net Profit+,2.53,4.90,5.06
EPS in Rs,1.74,3.38,2.77
Dividend Payout %,0.00%,0.00%,0.00%
