Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,241,251,269,282,295,305,315,331,348,354,355,372,391
Expenses+,184,191,213,215,226,227,238,223,226,230,236,253,275
Operating Profit,56,61,56,67,69,78,77,108,122,124,119,119,116
OPM %,23%,24%,21%,24%,23%,26%,24%,33%,35%,35%,34%,32%,30%
Other Income+,47,102,31,55,35,42,77,53,66,45,109,92,10
Interest,3,2,2,2,2,2,2,2,2,2,2,1,1
Depreciation,8,9,9,7,8,8,13,8,8,8,8,7,7
Profit before tax,93,152,76,112,93,110,139,151,177,159,218,204,119
Tax %,26%,26%,26%,26%,26%,25%,28%,25%,24%,24%,17%,25%,30%
Net Profit+,68,113,56,83,69,82,100,114,135,121,181,154,83
EPS in Rs,11.18,18.43,9.12,13.57,11.57,13.65,16.61,19.01,22.52,20.16,30.08,25.57,13.78
Raw PDF,,,,,,,,,,,,,
