Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,239,392,389,323,368,574,920,658,496,318,542,524,644
Expenses+,195,283,373,260,283,378,808,528,384,302,511,458,540
Operating Profit,45,110,16,63,85,196,112,130,112,16,30,67,104
OPM %,19%,28%,4%,19%,23%,34%,12%,20%,23%,5%,6%,13%,16%
Other Income+,13,18,91,13,13,22,27,18,32,17,22,14,19
Interest,76,94,102,98,105,105,127,119,141,143,152,161,169
Depreciation,4,5,4,5,6,7,10,7,8,8,11,10,11
Profit before tax,-22,29,1,-28,-13,106,3,22,-5,-118,-111,-90,-57
Tax %,-22%,22%,"-2,093%",-36%,-13%,27%,352%,31%,257%,-22%,-21%,-24%,-24%
Net Profit+,-17,23,27,-18,-11,78,-7,15,-17,-93,-88,-69,-43
EPS in Rs,-0.72,0.95,1.12,-0.75,-0.47,3.29,-0.28,0.64,-0.71,-3.90,-3.62,-2.85,-1.76
Raw PDF,,,,,,,,,,,,,
