Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,849,657,807,741,"1,009",713,"1,093",941,"1,036","1,152","1,023",959,"1,062"
Expenses+,729,584,663,616,844,609,928,796,879,"1,002",941,848,958
Operating Profit,120,73,144,125,165,104,165,145,157,149,82,111,104
OPM %,14%,11%,18%,17%,16%,15%,15%,15%,15%,13%,8%,12%,10%
Other Income+,0,5,3,5,25,14,0,9,9,16,6,9,19
Interest,21,20,7,15,18,18,20,21,30,36,36,31,32
Depreciation,15,16,16,19,20,22,22,25,25,30,36,38,39
Profit before tax,84,41,123,97,151,79,124,108,110,100,16,51,52
Tax %,20%,9%,23%,24%,24%,26%,26%,28%,27%,24%,28%,23%,25%
Net Profit+,67,38,95,74,114,58,92,78,80,75,11,39,39
EPS in Rs,3.39,1.90,4.78,3.72,5.77,2.93,4.64,3.93,4.06,3.81,0.57,1.97,1.97
Raw PDF,,,,,,,,,,,,,
