Metric,Mar 2024,Mar 2025
Sales+,684,734
Expenses+,622,686
Operating Profit,62,48
OPM %,9%,7%
Other Income+,4,8
Interest,1,1
Depreciation,5,5
Profit before tax,61,50
Tax %,25%,26%
Net Profit+,45,37
EPS in Rs,9.04,7.38
Dividend Payout %,3%,4%
