Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,42,94,135,63,30,9,9,8,4,9,12,76,7
Expenses+,19,80,97,22,39,4,14,23,29,21,95,196,43
Operating Profit,23,14,38,41,-9,6,-4,-15,-24,-11,-84,-120,-36
OPM %,55%,15%,28%,65%,-32%,60%,-43%,-178%,-566%,-120%,-708%,-159%,-519%
Other Income+,17,15,1,2,5,2,1,1,1,2,2,219,27
Interest,27,24,29,34,12,35,42,13,49,19,25,15,11
Depreciation,2,1,2,1,2,2,2,2,3,2,2,2,2
Profit before tax,10,4,8,7,-18,-28,-47,-28,-76,-31,-109,81,-22
Tax %,21%,67%,82%,5%,-106%,18%,10%,11%,-11%,-8%,-4%,33%,-28%
Net Profit+,8,1,2,7,1,-33,-52,-31,-67,-29,-105,54,-16
EPS in Rs,0.28,0.04,0.05,0.24,0.04,-1.13,-1.75,-1.04,-2.28,-0.97,-3.54,1.84,-0.53
Raw PDF,,,,,,,,,,,,,
