Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,62,211,239,123,125,202,225,131,159,264
Expenses+,52,146,173,96,83,143,164,87,125,200
Operating Profit,10,65,66,27,42,59,61,44,34,63
OPM %,15%,31%,28%,22%,33%,29%,27%,34%,21%,24%
Other Income+,0,0,1,1,0,2,7,3,6,1
Interest,0,1,0,2,0,1,0,0,0,0
Depreciation,0,0,0,1,1,1,1,1,2,3
Profit before tax,9,64,67,25,41,58,67,45,38,62
Tax %,30%,25%,27%,22%,26%,26%,25%,27%,25%,26%
Net Profit+,7,48,49,20,30,43,50,33,29,46
EPS in Rs,32.90,3.15,3.22,1.29,1.99,2.34,2.70,1.79,1.55,2.47
Raw PDF,,,,,,,,,,
