Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,746,780,756,781,742,743,732,745,818
Expenses+,694,720,677,705,684,685,664,676,755
Operating Profit,52,61,79,76,58,58,68,70,63
OPM %,7%,8%,10%,10%,8%,8%,9%,9%,8%
Other Income+,6,2,10,7,4,5,3,2,7
Interest,5,6,5,5,5,5,2,5,18
Depreciation,11,11,11,11,11,12,12,12,18
Profit before tax,41,45,72,67,45,47,57,55,33
Tax %,26%,23%,28%,25%,28%,27%,24%,27%,40%
Net Profit+,30,34,52,50,33,34,44,40,20
EPS in Rs,4.20,4.76,7.26,6.96,4.53,4.05,5.17,4.79,2.38
Raw PDF,,,,,,,,,
