Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,116","1,106","1,115","1,056","1,096","1,156","1,167","1,145","1,219","1,294","1,341","1,379","1,451"
Expenses+,889,876,926,808,816,868,879,851,913,"1,030","1,075","1,085","1,156"
Operating Profit,226,230,189,248,280,288,288,295,306,265,266,293,295
OPM %,20%,21%,17%,23%,26%,25%,25%,26%,25%,20%,20%,21%,20%
Other Income+,31,10,9,10,15,18,19,9,16,8,14,12,12
Interest,21,6,32,24,27,31,29,26,23,27,24,28,26
Depreciation,27,31,31,33,38,39,49,46,51,53,53,56,62
Profit before tax,208,203,136,201,230,236,229,232,247,192,204,222,219
Tax %,23%,26%,28%,25%,25%,25%,27%,26%,25%,26%,24%,26%,25%
Net Profit+,160,150,98,150,173,177,168,172,186,142,155,165,163
EPS in Rs,1.45,1.37,0.89,1.37,1.57,1.61,1.53,1.56,1.69,1.29,1.41,1.50,1.49
Raw PDF,,,,,,,,,,,,,
