Metric,Mar 2025,TTM
Sales+,43.63,42.56
Expenses+,37.85,37.15
Operating Profit,5.78,5.41
OPM %,13.25%,12.71%
Other Income+,0.97,1.17
Interest,1.91,1.75
Depreciation,2.05,2.13
Profit before tax,2.79,2.70
Tax %,30.11%,
Net Profit+,2.55,2.52
EPS in Rs,2.18,2.10
Dividend Payout %,0.00%,
