Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,223,449,701,392,549,576
Expenses+,235,362,508,385,481,502
Operating Profit,-12,87,192,7,68,74
OPM %,-6%,19%,27%,2%,12%,13%
Other Income+,55,15,26,19,21,20
Interest,5,9,8,18,23,23
Depreciation,17,17,24,40,51,52
Profit before tax,20,76,186,-31,15,19
Tax %,59%,25%,28%,-18%,85%,
Net Profit+,8,59,137,-25,4,19
EPS in Rs,0.53,2.44,5.67,-1.05,0.15,0.77
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,
