Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"2,230","2,339","2,075","1,900","2,227","2,143","2,205","2,207","2,422","2,017","2,107","2,400","2,251"
Interest,"1,410","1,389","1,342","1,354","1,350","1,312","1,291","1,309","1,238","1,194","1,050","1,196","1,286"
Expenses+,406,522,293,147,448,478,511,471,"4,852",389,603,724,528
Financing Profit,414,427,440,400,429,353,402,426,"-3,668",434,455,480,436
Financing Margin %,19%,18%,21%,21%,19%,16%,18%,19%,-151%,22%,22%,20%,19%
Other Income+,2,1,4,13,15,69,50,30,3,3,25,9,10
Depreciation,23,23,22,19,23,23,21,19,20,20,25,21,21
Profit before tax,393,405,422,394,422,399,431,437,"-3,685",417,455,468,425
Tax %,26%,28%,38%,25%,29%,24%,26%,25%,-25%,28%,29%,29%,27%
Net Profit+,289,291,263,294,298,303,319,327,"-2,761",302,324,334,308
EPS in Rs,4.09,4.11,3.71,4.16,4.14,4.10,4.32,6.59,-38.12,4.08,3.91,4.04,3.72
Gross NPA %,2.94%,3.30%,2.86%,2.87%,2.88%,2.85%,2.69%,2.68%,2.37%,1.14%,1.30%,1.50%,1.40%
Net NPA %,1.70%,2.18%,1.90%,1.69%,1.66%,1.71%,1.52%,1.52%,1.40%,0.66%,0.80%,0.80%,0.80%
Raw PDF,,,,,,,,,,,,,
