Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,380,525,503,586,626
Expenses+,284,418,412,428,451
Operating Profit,96,108,91,158,175
OPM %,25%,20%,18%,27%,28%
Other Income+,12,13,19,12,40
Interest,7,10,10,10,11
Depreciation,18,18,22,22,26
Profit before tax,83,93,79,138,178
Tax %,27%,28%,31%,27%,25%
Net Profit+,60,67,54,100,133
EPS in Rs,"7,643.34","8,584.12","7,278.60",999.17,36.20
Dividend Payout %,0%,0%,0%,0%,0%
