Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,"3,074","9,253","8,496","8,435","11,841","10,710"
Expenses+,"3,059","9,323","8,726","8,471","11,705","10,578"
Operating Profit,15,-71,-230,-36,136,131
OPM %,0%,-1%,-3%,-0%,1%,1%
Other Income+,104,184,256,155,11,19
Interest,6,6,0,0,0,0
Depreciation,8,13,17,19,23,22
Profit before tax,105,95,10,100,124,128
Tax %,0%,0%,0%,9%,9%,9%
Net Profit+,105,95,10,91,113,117
EPS in Rs,1.11,1.00,0.11,0.96,1.19,1.23
Dividend Payout %,0%,0%,278%,31%,34%,32%
