Metric,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025
Sales+,"7,027","8,725","12,403","14,173","16,300"
Expenses+,"3,096","3,605","6,153","5,817","6,745"
Operating Profit,"3,931","5,120","6,250","8,356","9,555"
OPM %,56%,59%,50%,59%,59%
Other Income+,-0,-0,1,1,0
Interest,"2,449","3,333","3,512","4,907","6,433"
Depreciation,45,62,112,145,194
Profit before tax,"1,436","1,724","2,627","3,305","2,928"
Tax %,35%,33%,25%,26%,26%
Net Profit+,933,"1,153","1,959","2,461","2,176"
EPS in Rs,11.92,14.68,24.76,31.03,27.34
Dividend Payout %,13%,12%,8%,10%,11%
