Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,476,599,544,583,556,636,583,576,585,703,643,628,651
Expenses+,329,394,401,396,400,437,424,396,431,478,446,434,480
Operating Profit,147,205,144,187,155,199,159,180,155,225,197,194,171
OPM %,31%,34%,26%,32%,28%,31%,27%,31%,26%,32%,31%,31%,26%
Other Income+,12,15,19,14,16,16,26,23,24,24,23,29,28
Interest,15,17,18,18,20,20,20,21,22,23,24,24,29
Depreciation,41,50,50,54,57,59,59,60,62,66,70,69,78
Profit before tax,103,152,95,128,95,136,105,123,94,160,126,131,91
Tax %,25%,26%,28%,28%,29%,28%,-48%,25%,24%,41%,24%,24%,24%
Net Profit+,78,113,69,94,68,99,156,92,72,95,95,99,69
EPS in Rs,2.81,4.12,2.52,3.42,2.45,3.60,5.71,3.37,2.56,3.48,3.48,3.62,2.49
Raw PDF,,,,,,,,,,,,,
