Metric,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,39,61,455,487,620,717,760
Expenses+,30,42,324,365,475,527,551
Operating Profit,9,19,132,122,144,190,209
OPM %,23%,31%,29%,25%,23%,27%,27%
Other Income+,3,2,15,19,17,26,22
Interest,9,9,18,8,16,25,27
Depreciation,6,12,41,54,75,88,90
Profit before tax,-3,0,87,80,70,103,113
Tax %,49%,180%,21%,23%,19%,24%,
Net Profit+,-5,-0,68,62,57,78,85
EPS in Rs,-9.53,-0.14,21.78,19.78,17.60,24.04,26.12
Dividend Payout %,0%,0%,11%,14%,14%,11%,
