Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,89,188,231,264,392,405
Expenses+,82,163,178,203,334,353
Operating Profit,8,25,54,61,58,52
OPM %,9%,14%,23%,23%,15%,13%
Other Income+,0,1,1,2,17,17
Interest,0,2,2,2,3,3
Depreciation,1,1,2,3,4,5
Profit before tax,7,24,51,58,68,62
Tax %,28%,26%,26%,26%,26%,
Net Profit+,5,18,38,44,50,45
EPS in Rs,45.79,168.63,9.42,7.96,9.07,8.20
Dividend Payout %,0%,0%,0%,0%,0%,
