Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,304,300,302,314,400,531,547,574,590,620,620,642,671
Expenses+,97,99,96,103,131,154,138,160,171,192,187,192,206
Operating Profit,206,201,207,211,269,377,409,414,419,428,433,450,465
OPM %,68%,67%,68%,67%,67%,71%,75%,72%,71%,69%,70%,70%,69%
Other Income+,8,9,5,7,19,30,3,18,13,16,20,12,23
Interest,108,114,115,120,185,273,275,279,287,286,227,205,202
Depreciation,64,72,71,120,84,105,103,102,105,112,111,105,107
Profit before tax,43,25,27,-22,20,30,35,51,40,46,115,153,179
Tax %,37%,1%,-21%,22%,90%,44%,95%,23%,44%,49%,31%,13%,17%
Net Profit+,27,25,33,-27,2,17,2,39,23,23,79,132,149
EPS in Rs,0.80,0.74,0.98,-0.81,0.04,0.38,0.27,1.08,0.64,0.53,1.22,2.05,2.18
Raw PDF,,,,,,,,,,,,,
