Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,138,138,103,94,142,183,198,171,172,239,245,254,238
Expenses+,94,94,73,61,98,128,195,132,141,159,158,147,145
Operating Profit,44,44,31,33,44,55,3,39,31,81,87,107,93
OPM %,32%,32%,30%,35%,31%,30%,1%,23%,18%,34%,36%,42%,39%
Other Income+,18,7,5,5,8,7,11,34,29,32,37,18,121
Interest,1,2,3,3,4,4,2,5,4,4,3,3,2
Depreciation,16,16,16,16,16,16,16,16,16,26,31,37,38
Profit before tax,44,34,17,19,32,42,-5,51,40,82,90,85,173
Tax %,28%,27%,38%,36%,32%,24%,215%,15%,13%,20%,20%,22%,24%
Net Profit+,32,25,10,12,22,32,-15,44,34,66,72,66,133
EPS in Rs,10.95,8.58,3.51,4.16,7.63,11.02,-5.18,15.13,11.89,22.76,24.71,22.81,45.73
Raw PDF,,,,,,,,,,,,,
