Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,82,90,119,110,94,110,108,101,236,235,219,210,351
Expenses+,79,87,101,94,103,107,104,96,227,222,202,187,327
Operating Profit,4,2,19,16,-8,4,4,5,9,14,17,23,24
OPM %,5%,3%,16%,14%,-9%,3%,3%,5%,4%,6%,8%,11%,7%
Other Income+,7,4,3,2,3,9,11,8,8,6,10,6,5
Interest,7,5,8,6,6,6,4,2,2,2,3,2,2
Depreciation,5,5,4,5,5,5,5,6,7,7,10,9,10
Profit before tax,-1,-4,10,7,-16,2,5,4,7,10,13,17,17
Tax %,117%,31%,14%,18%,6%,52%,-3%,7%,1%,1%,-14%,6%,15%
Net Profit+,-2,-6,9,6,-17,1,6,4,7,10,15,16,14
EPS in Rs,-0.14,-0.49,0.78,0.52,-1.09,0.07,0.36,0.26,0.47,0.64,0.97,1.02,0.91
Raw PDF,,,,,,,,,,,,,
