Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,181,211,278,318,318,329
Expenses+,151,158,198,223,231,216
Operating Profit,30,53,80,95,87,113
OPM %,17%,25%,29%,30%,27%,34%
Other Income+,3,1,0,3,4,4
Interest,4,2,2,3,2,2
Depreciation,21,23,23,31,34,34
Profit before tax,8,29,56,65,54,81
Tax %,17%,25%,26%,26%,25%,
Net Profit+,7,21,41,48,41,61
EPS in Rs,1.55,4.84,9.35,10.87,9.26,13.84
Dividend Payout %,0%,21%,11%,9%,11%,
