Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"1,992","2,118","2,275","2,458","2,531","2,736","2,830","3,769","3,911","4,113","4,271","4,378","4,511"
Interest,909,965,"1,062","1,212","1,282","1,411","1,492","1,848","1,936","2,091","2,177","2,334","2,367"
Expenses+,875,925,"1,016","1,048","1,122","1,269","1,346","1,761","1,854","1,938","2,197","2,076","2,128"
Financing Profit,208,228,197,198,127,56,-9,160,121,85,-104,-32,16
Financing Margin %,10%,11%,9%,8%,5%,2%,-0%,4%,3%,2%,-2%,-1%,0%
Other Income+,247,295,333,315,406,442,464,509,638,618,761,811,713
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,456,523,530,513,533,498,455,669,759,703,657,779,729
Tax %,25%,25%,20%,25%,25%,25%,18%,25%,25%,25%,23%,25%,23%
Net Profit+,343,393,425,387,402,375,371,503,571,528,504,581,561
EPS in Rs,5.15,5.89,6.37,5.80,6.01,5.61,5.54,6.76,7.68,7.10,6.77,7.79,7.52
Gross NPA %,1.90%,1.81%,1.66%,1.76%,1.91%,1.98%,1.67%,1.78%,1.98%,2.31%,2.28%,2.47%,2.41%
Net NPA %,0.56%,0.51%,0.42%,0.55%,0.60%,0.68%,0.55%,0.63%,0.75%,0.91%,0.74%,0.88%,0.88%
Raw PDF,,,,,,,,,,,,,
