Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,443,661,637
Expenses+,425,629,611
Operating Profit,17,32,27
OPM %,4%,5%,4%
Other Income+,9,8,13
Interest,11,17,13
Depreciation,9,12,9
Profit before tax,6,11,18
Tax %,34%,26%,20%
Net Profit+,4,8,14
EPS in Rs,2.54,5.43,8.94
Dividend Payout %,30%,14%,6%
