Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,252","3,841","5,885","8,147","9,371","9,755"
Expenses+,"2,366","4,124","5,835","8,416","9,250","9,551"
Operating Profit,-114,-283,50,-269,121,204
OPM %,-5%,-7%,1%,-3%,1%,2%
Other Income+,0,-0,0,468,324,327
Interest,0,0,0,0,0,0
Depreciation,9,12,15,18,20,0
Profit before tax,-123,-296,36,182,425,530
Tax %,0%,0%,0%,0%,0%,
Net Profit+,-123,-296,36,182,425,508
EPS in Rs,-1.49,-3.44,0.41,2.08,4.60,5.51
Dividend Payout %,0%,0%,0%,0%,0%,
