Metric,Mar 2025,TTM
Sales+,404,417
Expenses+,366,378
Operating Profit,38,39
OPM %,9%,9%
Other Income+,0,0
Interest,18,18
Depreciation,12,12
Profit before tax,9,9
Tax %,28%,
Net Profit+,6,6
EPS in Rs,3.37,3.38
Dividend Payout %,9%,
