Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,508,814,"1,603","2,401","5,633","6,481","7,660","8,064"
Expenses+,"1,450","1,047","1,561","2,420","5,950","6,410","7,430","7,845"
Operating Profit,-942,-233,42,-18,-317,70,230,219
OPM %,-186%,-29%,3%,-1%,-6%,1%,3%,3%
Other Income+,27,83,141,116,153,94,101,133
Interest,0,4,14,38,72,115,158,160
Depreciation,18,38,70,111,294,371,405,411
Profit before tax,-933,-191,98,-51,-530,-322,-232,-218
Tax %,-0%,-0%,-120%,54%,-8%,-0%,14%,
Net Profit+,-933,-191,216,-79,-486,-322,-265,-243
EPS in Rs,,,,,,,-3.67,-3.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
