Metric,Dec 20238m,Dec 2024,TTM
Sales+,555,724,724
Expenses+,337,454,465
Operating Profit,219,271,259
OPM %,39%,37%,36%
Other Income+,2,-15,22
Interest,0,4,5
Depreciation,2,4,8
Profit before tax,219,247,270
Tax %,25%,27%,
Net Profit+,165,181,200
EPS in Rs,,78.59,86.85
Dividend Payout %,6%,70%,
