Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,226,199,199,178,262,200,219,151,308,255,288,234,354
Expenses+,176,166,160,144,201,161,177,124,244,208,236,192,283
Operating Profit,50,34,39,34,62,39,42,28,64,47,52,42,71
OPM %,22%,17%,20%,19%,24%,19%,19%,18%,21%,18%,18%,18%,20%
Other Income+,6,7,8,11,8,9,9,11,34,2,3,14,7
Interest,1,2,2,2,1,1,1,1,3,3,4,4,4
Depreciation,2,2,2,2,3,3,3,3,9,10,10,11,11
Profit before tax,52,36,42,41,66,44,48,35,86,36,41,41,63
Tax %,25%,25%,26%,18%,25%,25%,21%,28%,22%,27%,26%,22%,25%
Net Profit+,39,27,31,34,50,33,38,25,68,26,30,32,47
EPS in Rs,6.34,4.37,5.11,5.47,8.06,5.39,6.14,4.09,10.63,3.99,4.73,5.08,7.28
Raw PDF,,,,,,,,,,,,,
