Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,"1,315","1,665","1,949"
Expenses+,519,618,711
Operating Profit,796,"1,047","1,239"
OPM %,61%,63%,64%
Other Income+,108,72,28
Interest,414,508,598
Depreciation,637,744,824
Profit before tax,-147,-133,-155
Tax %,-0%,-0%,-184%
Net Profit+,-147,-136,128
EPS in Rs,-26.79,-24.79,9.51
Dividend Payout %,0%,0%,0%
