Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,287,307,299,311,321,273,316,311,300,260,284,292,271
Expenses+,224,239,235,241,253,221,244,240,234,209,232,230,217
Operating Profit,64,68,65,70,67,53,72,71,66,51,52,62,55
OPM %,22%,22%,22%,22%,21%,19%,23%,23%,22%,20%,18%,21%,20%
Other Income+,5,7,0,2,4,5,-28,5,9,-15,10,16,14
Interest,2,4,0,1,1,0,1,0,1,0,1,0,1
Depreciation,7,7,7,7,7,7,12,9,10,10,12,9,9
Profit before tax,60,65,57,65,63,50,31,67,65,27,49,68,59
Tax %,19%,19%,19%,26%,26%,26%,25%,25%,24%,24%,-11%,28%,25%
Net Profit+,49,53,46,48,47,37,24,50,49,20,55,49,44
EPS in Rs,1.81,1.94,1.70,1.78,1.72,1.36,0.87,1.83,1.81,0.74,2.01,1.81,1.63
Raw PDF,,,,,,,,,,,,,
