Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,289,527,539,875,"1,170","1,079"
Expenses+,404,659,617,853,"1,272","1,240"
Operating Profit,-115,-132,-78,22,-102,-161
OPM %,-40%,-25%,-14%,3%,-9%,-15%
Other Income+,14,17,22,15,22,23
Interest,7,11,20,19,27,29
Depreciation,1,2,4,4,13,14
Profit before tax,-110,-128,-81,14,-120,-180
Tax %,1%,-0%,4%,0%,2%,
Net Profit+,-111,-128,-84,14,-122,-182
EPS in Rs,"-1,107.46",-22.41,-14.66,2.46,-15.64,-23.33
Dividend Payout %,0%,0%,0%,0%,0%,
