Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"1,181","1,206","1,228","1,266","1,304","1,326","1,374","1,389","1,434","1,479","1,533","1,605","1,653"
Interest,613,650,714,744,766,810,828,843,851,891,932,980,987
Expenses+,390,507,451,452,390,391,402,403,451,455,489,488,512
Financing Profit,178,49,63,71,149,125,145,142,132,133,112,137,154
Financing Margin %,15%,4%,5%,6%,11%,9%,11%,10%,9%,9%,7%,9%,9%
Other Income+,173,224,195,191,182,193,175,192,226,228,251,244,259
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,351,273,258,262,331,318,320,334,358,361,363,381,414
Tax %,21%,20%,16%,13%,15%,20%,20%,21%,20%,21%,21%,20%,21%
Net Profit+,276,218,218,227,281,253,255,264,285,286,288,306,329
EPS in Rs,3.74,2.94,2.94,3.07,3.79,3.42,3.44,3.57,3.85,3.86,3.89,4.13,4.43
Gross NPA %,4.36%,4.62%,4.37%,4.91%,4.66%,4.47%,3.99%,3.88%,3.54%,3.36%,3.09%,2.99%,2.42%
Net NPA %,2.69%,2.67%,2.36%,2.51%,2.34%,2.19%,1.97%,1.87%,1.62%,1.42%,1.25%,1.20%,0.90%
Raw PDF,,,,,,,,,,,,,
