Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,80,122,170,184,202,206
Expenses+,72,96,140,154,167,171
Operating Profit,9,26,31,30,35,34
OPM %,11%,21%,18%,17%,17%,17%
Other Income+,1,1,1,4,5,5
Interest,16,13,13,11,13,13
Depreciation,10,10,11,12,14,14
Profit before tax,-16,4,7,11,12,12
Tax %,-26%,42%,10%,55%,17%,
Net Profit+,-12,2,7,5,10,10
EPS in Rs,-2.27,0.39,1.14,0.85,1.64,1.62
Dividend Payout %,0%,0%,44%,59%,31%,
