Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,646,724,693,658,705,888,789,756,796,977,850,814,877
Expenses+,596,662,646,600,642,795,736,699,736,868,788,752,800
Operating Profit,50,61,46,58,63,93,53,57,60,110,62,62,78
OPM %,8%,8%,7%,9%,9%,11%,7%,8%,8%,11%,7%,8%,9%
Other Income+,2,14,9,7,3,2,6,9,9,2,8,13,11
Interest,2,2,3,3,3,3,3,3,4,4,4,4,3
Depreciation,18,20,22,22,23,23,25,25,26,26,25,25,24
Profit before tax,31,55,30,40,41,68,32,37,39,82,41,46,60
Tax %,26%,28%,23%,27%,30%,31%,33%,27%,29%,22%,17%,18%,21%
Net Profit+,23,39,23,30,29,47,21,27,28,64,34,38,48
EPS in Rs,1.39,2.36,1.42,1.80,1.78,2.87,1.29,1.67,1.67,3.84,2.05,2.26,2.85
Raw PDF,,,,,,,,,,,,,
