Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,121","1,190","1,253","1,284","1,409","1,441","1,490","1,489","1,576","1,561","1,510","1,543","1,679"
Expenses+,"1,061","1,119","1,171","1,213","1,324","1,350","1,385","1,395","1,452","1,429","1,373","1,412","1,530"
Operating Profit,60,72,82,71,85,92,106,94,124,133,136,131,149
OPM %,5%,6%,7%,6%,6%,6%,7%,6%,8%,8%,9%,8%,9%
Other Income+,11,11,14,9,10,10,10,9,12,13,16,15,17
Interest,20,21,22,23,24,24,25,25,25,26,27,27,29
Depreciation,42,46,56,52,55,57,59,60,63,62,64,66,69
Profit before tax,9,16,17,5,16,20,32,18,48,57,61,53,69
Tax %,27%,17%,-54%,26%,12%,31%,-5%,19%,19%,19%,16%,20%,19%
Net Profit+,6,13,27,4,15,14,34,14,39,46,51,42,56
EPS in Rs,0.55,1.12,2.23,0.32,1.22,1.15,2.79,1.20,3.24,3.83,4.29,3.54,4.63
Raw PDF,,,,,,,,,,,,,
