Metric,Mar 2024,Mar 2025,TTM
Sales+,799,914,911
Expenses+,710,821,828
Operating Profit,89,93,83
OPM %,11%,10%,9%
Other Income+,9,7,7
Interest,38,42,32
Depreciation,12,13,14
Profit before tax,47,45,45
Tax %,27%,29%,
Net Profit+,35,32,32
EPS in Rs,6.68,6.13,6.13
Dividend Payout %,3%,3%,
