Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,264,315,289,254,297,320,266,250,319,535,520,499,526
Expenses+,250,285,262,221,271,284,265,226,295,498,491,476,690
Operating Profit,14,30,27,33,27,36,2,24,24,37,29,23,-164
OPM %,5%,10%,9%,13%,9%,11%,1%,10%,8%,7%,6%,5%,-31%
Other Income+,24,12,6,12,14,18,21,26,23,22,9,92,190
Interest,1,0,3,1,3,2,1,1,2,3,5,5,7
Depreciation,10,15,16,15,15,15,22,15,26,31,37,65,61
Profit before tax,26,26,14,28,23,37,0,34,20,25,-4,46,-42
Tax %,34%,23%,33%,26%,-6%,21%,-200%,31%,18%,46%,-203%,-13%,-19%
Net Profit+,17,20,9,21,24,30,0,24,16,14,4,51,-34
EPS in Rs,0.39,0.62,0.10,0.74,0.75,0.88,0.28,0.74,0.72,0.90,0.18,1.85,-0.79
Raw PDF,,,,,,,,,,,,,
