Metric,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022
Sales+,236.14,233.53,41.56,172.15,414.28,590.18,175.34,448.27,668.11,439.66
Expenses+,227.42,222.99,34.77,159.88,398.73,573.96,164.96,428.99,641.86,420.55
Operating Profit,8.72,10.54,6.79,12.27,15.55,16.22,10.38,19.28,26.25,19.11
OPM %,3.69%,4.51%,16.34%,7.13%,3.75%,2.75%,5.92%,4.30%,3.93%,4.35%
Other Income+,0.01,0.43,0.00,0.03,0.02,0.07,0.02,0.01,0.03,0.26
Interest,2.11,2.70,1.91,1.98,2.96,3.80,3.49,3.55,4.03,4.12
Depreciation,0.99,0.75,0.53,0.81,0.86,1.49,1.19,1.19,1.19,1.90
Profit before tax,5.63,7.52,4.35,9.51,11.75,11.00,5.72,14.55,21.06,13.35
Tax %,26.47%,24.73%,25.29%,25.13%,25.79%,24.73%,25.35%,25.50%,25.07%,27.72%
Net Profit+,4.14,5.66,3.25,7.12,8.72,8.28,4.26,10.84,15.79,9.65
EPS in Rs,1.86,2.54,1.46,3.20,3.92,3.72,1.91,4.87,7.10,4.34
Raw PDF,,,,,,,,,,
