Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,21,128,39,172,"1,445","1,480"
Expenses+,93,132,199,254,978,990
Operating Profit,-71,-4,-161,-82,467,490
OPM %,-334%,-3%,-415%,-48%,32%,33%
Other Income+,1,-128,-526,-143,-94,-91
Interest,16,46,48,89,166,152
Depreciation,34,53,66,76,274,273
Profit before tax,-121,-231,-800,-391,-68,-26
Tax %,0%,-0%,-0%,-0%,-73%,
Net Profit+,-121,-231,-800,-391,-18,-13
EPS in Rs,,,,,-1.57,
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,
