Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,397","6,582","7,484","8,291","8,772"
Expenses+,"4,642","5,707","6,556","7,270","7,710"
Operating Profit,755,875,928,"1,021","1,062"
OPM %,14%,13%,12%,12%,12%
Other Income+,14,38,59,62,82
Interest,216,250,290,307,310
Depreciation,246,307,321,330,337
Profit before tax,307,357,376,446,496
Tax %,15%,12%,17%,20%,
Net Profit+,262,314,314,355,396
EPS in Rs,,,4.82,5.46,5.63
Dividend Payout %,0%,0%,0%,10%,
