Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,127,132,127,133,130,134,149,181,178,186,182,186,194
Expenses+,86,91,82,91,89,89,107,140,124,126,126,136,134
Operating Profit,40,41,46,42,41,45,43,41,54,60,56,50,60
OPM %,32%,31%,36%,32%,31%,33%,29%,23%,30%,32%,31%,27%,31%
Other Income+,2,3,2,3,5,1,3,2,2,2,13,6,15
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,5,5,5,5,5,6,7,7,7,7,7,6
Profit before tax,36,39,43,41,41,41,39,36,48,55,62,50,69
Tax %,26%,25%,25%,25%,26%,27%,27%,28%,27%,26%,24%,29%,20%
Net Profit+,27,30,32,30,30,30,29,26,35,41,47,35,55
EPS in Rs,15.70,17.29,18.78,17.71,17.56,17.38,16.78,15.14,20.60,23.80,27.52,20.60,32.41
Raw PDF,,,,,,,,,,,,,
