Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,30,58,242,151,149,324,334,323,385,290,489,331,407
Expenses+,23,39,223,140,124,287,318,300,356,249,465,308,383
Operating Profit,6,19,18,11,25,38,15,23,29,41,25,22,24
OPM %,21%,33%,8%,8%,17%,12%,5%,7%,8%,14%,5%,7%,6%
Other Income+,11,3,0,8,15,63,49,4,24,18,37,282,40
Interest,1,1,2,2,2,1,2,2,4,3,17,14,4
Depreciation,1,1,1,1,1,1,3,2,2,3,3,3,6
Profit before tax,16,21,16,17,37,99,59,22,46,53,42,288,54
Tax %,0%,32%,36%,12%,16%,24%,11%,21%,13%,22%,35%,18%,4%
Net Profit+,15,14,34,15,39,75,46,17,40,41,25,249,62
EPS in Rs,0.07,0.05,0.20,0.05,0.19,0.39,0.14,0.04,0.14,0.13,0.06,1.50,0.15
Raw PDF,,,,,,,,,,,,,
