Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,841","3,538","3,677","4,245","4,372","3,980","4,173","4,436","4,450","4,017","4,335","4,695","4,365"
Expenses+,"3,410","3,140","3,305","3,807","3,872","3,548","3,725","3,963","3,978","3,592","3,907","4,157","3,973"
Operating Profit,431,398,372,438,499,432,448,473,472,425,428,538,391
OPM %,11%,11%,10%,10%,11%,11%,11%,11%,11%,11%,10%,11%,9%
Other Income+,36,24,36,23,38,25,5,16,40,13,44,28,54
Interest,18,19,21,24,30,32,31,30,34,54,35,32,40
Depreciation,123,127,131,132,141,145,142,144,146,145,148,149,152
Profit before tax,326,276,256,304,366,281,281,316,332,238,290,385,253
Tax %,26%,28%,29%,26%,26%,28%,34%,30%,30%,33%,35%,29%,31%
Net Profit+,241,198,181,224,270,203,186,221,233,158,188,275,174
EPS in Rs,2.84,2.34,2.12,2.62,3.17,2.36,2.17,2.59,2.72,1.84,2.20,3.21,2.02
Raw PDF,,,,,,,,,,,,,
