Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,746,637,569,657,794,762,783,862,974,915,850,891,"1,054"
Expenses+,665,582,521,593,719,682,700,762,857,804,746,772,917
Operating Profit,81,55,48,64,74,80,82,101,117,111,104,120,137
OPM %,11%,9%,8%,10%,9%,11%,11%,12%,12%,12%,12%,13%,13%
Other Income+,3,2,3,3,7,12,4,4,3,5,6,4,7
Interest,3,3,4,4,8,8,8,8,9,8,9,10,12
Depreciation,15,15,15,15,17,18,19,20,22,23,25,26,28
Profit before tax,67,39,32,48,57,66,60,76,89,86,76,87,104
Tax %,27%,25%,29%,27%,28%,24%,20%,25%,25%,23%,24%,24%,23%
Net Profit+,49,29,23,35,41,50,48,57,67,66,58,66,80
EPS in Rs,2.47,1.48,1.14,1.77,2.09,2.53,2.42,2.88,3.41,3.34,2.92,3.35,4.05
Raw PDF,,,,,,,,,,,,,
