Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,45,"1,855","2,043","2,525"
Expenses+,6,296,495,729
Operating Profit,39,"1,559","1,549","1,797"
OPM %,88%,84%,76%,71%
Other Income+,10,429,428,446
Interest,0,10,8,242
Depreciation,0,22,23,25
Profit before tax,49,"1,956","1,947","1,975"
Tax %,37%,18%,17%,
Net Profit+,31,"1,605","1,613","1,631"
EPS in Rs,,2.53,2.54,2.56
Dividend Payout %,0%,0%,20%,
