Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,186,156,158,160,190,179,196,187,210,215,234,225,273
Expenses+,167,144,143,150,170,164,174,170,186,189,206,202,243
Operating Profit,19,12,15,10,20,15,22,17,24,26,28,23,30
OPM %,10%,8%,9%,6%,10%,8%,11%,9%,11%,12%,12%,10%,11%
Other Income+,5,6,5,6,5,6,8,11,9,2,9,12,7
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,4,4,4,4,4,4,4,4,4,6,6,4,4
Profit before tax,21,15,16,12,21,17,26,23,28,21,30,30,32
Tax %,19%,9%,11%,21%,16%,30%,21%,22%,26%,25%,10%,24%,28%
Net Profit+,17,14,14,9,18,12,20,18,21,16,27,23,23
EPS in Rs,7.40,5.99,6.28,4.09,7.75,5.34,9.03,8.02,9.35,7.06,11.94,10.26,10.26
Raw PDF,,,,,,,,,,,,,
